[E 260608 06:31:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid clientcode parameter name. URL: https://apiconnect.angelone.in/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '739476'}, Response: {'message': 'Invalid clientcode parameter name', 'errorcode': None, 'status': False, 'data': None}
[E 260608 08:04:03 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'GESHIP-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:03 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'GOLDBEES-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:04 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'HDFCBANK-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:04 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'IDEA-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:05 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'INDUSTOWER-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:05 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ITBEES-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:06 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ITCHOTELS-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:06 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'J&KBANK-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:07 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'MEDIASSIST-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:07 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'MOTILALOFS-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'NATIONALUM-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'NCC-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'NEPHROCARE-ST', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ORIANA-SM', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ORIANA-SM', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'PTC-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'PTCIL-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'TIPSMUSIC-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:12 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'WAAREEENER-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:12 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ZAGGLE-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:04:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ZAGGLE-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:05:27 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': '', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:05:27 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ALPEXSOLAR-SM', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:05:27 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'ARTEMISMED-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:05:28 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'AVANTIFEED-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
[E 260608 08:05:28 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Invalid symboltoken. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '92:00:07:e0:bb:2b', 'Accept': 'application/json', 'X-PrivateKey': 'mcZSsqHL', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'AWFIS-EQ', 'symboltoken': ''}, Response: {'message': 'Invalid symboltoken', 'errorcode': 'AB4006', 'status': False, 'data': None}
